adversary_count,average_agent_reward,joint_reward,joint_reward_ratio,model,model_label,num_agents,provider,run_dir,run_id,seed,status,sweep_name,topology,total_variables,variables_assigned
3,3.1666666666666665,19.0,0.7916666666666666,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/outputs/meeting_scheduling_network_influence_smoke/20251217-181944/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__complete__n6__a3__seed2,openai-gpt-4.1-mini__adv_count_sweep__complete__n6__a3__seed2,2,complete,,complete,13,13
3,4.0,24.0,0.9230769230769231,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/outputs/meeting_scheduling_network_influence_smoke/20251217-181944/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__complete__n6__a3__seed3,openai-gpt-4.1-mini__adv_count_sweep__complete__n6__a3__seed3,3,complete,,complete,10,10
0,3.5,21.0,0.9130434782608695,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/outputs/meeting_scheduling_network_influence_smoke/20251217-181944/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__path__n6__a0__seed1,openai-gpt-4.1-mini__adv_count_sweep__path__n6__a0__seed1,1,complete,,path,12,12
0,3.8333333333333335,23.0,0.9583333333333334,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/outputs/meeting_scheduling_network_influence_smoke/20251217-181944/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__path__n6__a0__seed2,openai-gpt-4.1-mini__adv_count_sweep__path__n6__a0__seed2,2,complete,,path,13,13
0,4.0,24.0,0.9230769230769231,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/outputs/meeting_scheduling_network_influence_smoke/20251217-181944/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__path__n6__a0__seed3,openai-gpt-4.1-mini__adv_count_sweep__path__n6__a0__seed3,3,complete,,path,10,10
1,3.5,21.0,0.9130434782608695,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/outputs/meeting_scheduling_network_influence_smoke/20251217-181944/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__path__n6__a1__seed1,openai-gpt-4.1-mini__adv_count_sweep__path__n6__a1__seed1,1,complete,,path,12,12
1,4.0,24.0,1.0,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/outputs/meeting_scheduling_network_influence_smoke/20251217-181944/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__path__n6__a1__seed2,openai-gpt-4.1-mini__adv_count_sweep__path__n6__a1__seed2,2,complete,,path,13,13
1,4.0,24.0,0.9230769230769231,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/outputs/meeting_scheduling_network_influence_smoke/20251217-181944/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__path__n6__a1__seed3,openai-gpt-4.1-mini__adv_count_sweep__path__n6__a1__seed3,3,complete,,path,10,10
2,3.5,21.0,0.9130434782608695,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/outputs/meeting_scheduling_network_influence_smoke/20251217-181944/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__path__n6__a2__seed1,openai-gpt-4.1-mini__adv_count_sweep__path__n6__a2__seed1,1,complete,,path,12,12
2,3.8333333333333335,23.0,0.9583333333333334,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/outputs/meeting_scheduling_network_influence_smoke/20251217-181944/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__path__n6__a2__seed2,openai-gpt-4.1-mini__adv_count_sweep__path__n6__a2__seed2,2,complete,,path,13,13
2,4.0,24.0,0.9230769230769231,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/outputs/meeting_scheduling_network_influence_smoke/20251217-181944/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__path__n6__a2__seed3,openai-gpt-4.1-mini__adv_count_sweep__path__n6__a2__seed3,3,complete,,path,10,10
3,2.6666666666666665,16.0,0.6956521739130435,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/outputs/meeting_scheduling_network_influence_smoke/20251217-181944/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__path__n6__a3__seed1,openai-gpt-4.1-mini__adv_count_sweep__path__n6__a3__seed1,1,complete,,path,12,12
3,3.8333333333333335,23.0,0.9583333333333334,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/outputs/meeting_scheduling_network_influence_smoke/20251217-181944/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__path__n6__a3__seed2,openai-gpt-4.1-mini__adv_count_sweep__path__n6__a3__seed2,2,complete,,path,13,13
3,4.0,24.0,0.9230769230769231,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/outputs/meeting_scheduling_network_influence_smoke/20251217-181944/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__path__n6__a3__seed3,openai-gpt-4.1-mini__adv_count_sweep__path__n6__a3__seed3,3,complete,,path,10,10
0,3.5,21.0,0.9130434782608695,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/outputs/meeting_scheduling_network_influence_smoke/20251217-181944/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__star__n6__a0__seed1,openai-gpt-4.1-mini__adv_count_sweep__star__n6__a0__seed1,1,complete,,star,12,12
0,4.0,24.0,1.0,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/outputs/meeting_scheduling_network_influence_smoke/20251217-181944/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__star__n6__a0__seed2,openai-gpt-4.1-mini__adv_count_sweep__star__n6__a0__seed2,2,complete,,star,13,13
0,4.166666666666667,25.0,0.9615384615384616,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/outputs/meeting_scheduling_network_influence_smoke/20251217-181944/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__star__n6__a0__seed3,openai-gpt-4.1-mini__adv_count_sweep__star__n6__a0__seed3,3,complete,,star,10,10
1,3.5,21.0,0.9130434782608695,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/outputs/meeting_scheduling_network_influence_smoke/20251217-181944/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__star__n6__a1__seed1,openai-gpt-4.1-mini__adv_count_sweep__star__n6__a1__seed1,1,complete,,star,12,12
1,3.8333333333333335,23.0,0.9583333333333334,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/outputs/meeting_scheduling_network_influence_smoke/20251217-181944/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__star__n6__a1__seed2,openai-gpt-4.1-mini__adv_count_sweep__star__n6__a1__seed2,2,complete,,star,13,13
1,4.0,24.0,0.9230769230769231,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/outputs/meeting_scheduling_network_influence_smoke/20251217-181944/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__star__n6__a1__seed3,openai-gpt-4.1-mini__adv_count_sweep__star__n6__a1__seed3,3,complete,,star,10,10
2,3.5,21.0,0.9130434782608695,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/outputs/meeting_scheduling_network_influence_smoke/20251217-181944/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__star__n6__a2__seed1,openai-gpt-4.1-mini__adv_count_sweep__star__n6__a2__seed1,1,complete,,star,12,12
2,3.6666666666666665,22.0,0.9166666666666666,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/outputs/meeting_scheduling_network_influence_smoke/20251217-181944/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__star__n6__a2__seed2,openai-gpt-4.1-mini__adv_count_sweep__star__n6__a2__seed2,2,complete,,star,13,13
2,3.1666666666666665,19.0,0.7307692307692307,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/outputs/meeting_scheduling_network_influence_smoke/20251217-181944/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__star__n6__a2__seed3,openai-gpt-4.1-mini__adv_count_sweep__star__n6__a2__seed3,3,complete,,star,10,10
3,3.5,21.0,0.9130434782608695,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/outputs/meeting_scheduling_network_influence_smoke/20251217-181944/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__star__n6__a3__seed1,openai-gpt-4.1-mini__adv_count_sweep__star__n6__a3__seed1,1,complete,,star,12,12
3,4.0,24.0,1.0,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/outputs/meeting_scheduling_network_influence_smoke/20251217-181944/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__star__n6__a3__seed2,openai-gpt-4.1-mini__adv_count_sweep__star__n6__a3__seed2,2,complete,,star,13,13
3,4.0,24.0,0.9230769230769231,gpt-4.1-mini-2025-04-14,openai-gpt-4.1-mini,6,openai,/home/smahmud/Documents/Terrarium/experiments/outputs/meeting_scheduling_network_influence_smoke/20251217-181944/runs/openai-gpt-4.1-mini/adv_count_sweep/openai-gpt-4.1-mini__adv_count_sweep__star__n6__a3__seed3,openai-gpt-4.1-mini__adv_count_sweep__star__n6__a3__seed3,3,complete,,star,10,10
