condition,condition_pretty,mean,metric_key,model_label,model_label_pretty,n,sem
baseline,Control (no SC),55.333333333333336,percentile_midrank,fw-glm-5,GLM-5,20,7.163095805618394
baseline,Control (no SC),0.07104718348305651,z_score,fw-glm-5,GLM-5,20,0.2517464910641285
baseline,Control (no SC),-0.13285471412054495,actual_reward_advantage,fw-glm-5,GLM-5,20,1.8260225266705532
control,Emergent (SC),45.66666666666667,percentile_midrank,fw-glm-5,GLM-5,20,6.5252545826520105
control,Emergent (SC),-0.21146548861350345,z_score,fw-glm-5,GLM-5,20,0.2507847762377661
control,Emergent (SC),-1.864797669478083,actual_reward_advantage,fw-glm-5,GLM-5,20,1.4050740709420702
simple,Prompted (SC),53.33333333333335,percentile_midrank,fw-glm-5,GLM-5,20,6.045635417583431
simple,Prompted (SC),0.0004141990256409267,z_score,fw-glm-5,GLM-5,20,0.2184563408312848
simple,Prompted (SC),-0.1291488926277621,actual_reward_advantage,fw-glm-5,GLM-5,20,1.5199692751286444
baseline,Control (no SC),59.666666666666664,percentile_midrank,fw-minimax-m2.5,MiniMax-M2.5,20,7.50009746525364
baseline,Control (no SC),0.19059603775489248,z_score,fw-minimax-m2.5,MiniMax-M2.5,20,0.2509555192072424
baseline,Control (no SC),2.3943349809609984,actual_reward_advantage,fw-minimax-m2.5,MiniMax-M2.5,20,1.9105865474995352
control,Emergent (SC),45.833333333333336,percentile_midrank,fw-minimax-m2.5,MiniMax-M2.5,20,7.550512162636959
control,Emergent (SC),-0.24305628189792175,z_score,fw-minimax-m2.5,MiniMax-M2.5,20,0.27798109456424835
control,Emergent (SC),-0.15853195900350867,actual_reward_advantage,fw-minimax-m2.5,MiniMax-M2.5,20,1.85006094593623
simple,Prompted (SC),33.66666666666667,percentile_midrank,fw-minimax-m2.5,MiniMax-M2.5,20,7.230135116384035
simple,Prompted (SC),-0.5918379038336482,z_score,fw-minimax-m2.5,MiniMax-M2.5,20,0.27686879962132127
simple,Prompted (SC),-3.9764131047191498,actual_reward_advantage,fw-minimax-m2.5,MiniMax-M2.5,20,2.1943238439240127
baseline,Control (no SC),57.0,percentile_midrank,gpt-5.4,GPT-5.4,20,7.496197866661496
baseline,Control (no SC),0.25262292437913936,z_score,gpt-5.4,GPT-5.4,20,0.263694357654068
baseline,Control (no SC),-1.1313240361531947,actual_reward_advantage,gpt-5.4,GPT-5.4,20,2.293307881193117
control,Emergent (SC),53.16666666666667,percentile_midrank,gpt-5.4,GPT-5.4,20,7.860163086265453
control,Emergent (SC),0.033662789230291236,z_score,gpt-5.4,GPT-5.4,20,0.2730774926883403
control,Emergent (SC),-0.9884754484071664,actual_reward_advantage,gpt-5.4,GPT-5.4,20,2.3320511902489134
simple,Prompted (SC),62.33333333333333,percentile_midrank,gpt-5.4,GPT-5.4,20,6.996657514432803
simple,Prompted (SC),0.3978042243969728,z_score,gpt-5.4,GPT-5.4,20,0.25530926196839865
simple,Prompted (SC),2.4641473024492826,actual_reward_advantage,gpt-5.4,GPT-5.4,20,2.1080739053556874
baseline,Control (no SC),50.000000000000014,percentile_midrank,grok-4-20-reasoning,Grok-4-20-Reasoning,20,7.6165409410330565
baseline,Control (no SC),-0.04531463230871572,z_score,grok-4-20-reasoning,Grok-4-20-Reasoning,20,0.28380998171707017
baseline,Control (no SC),0.18412651306032765,actual_reward_advantage,grok-4-20-reasoning,Grok-4-20-Reasoning,20,1.7642841016104758
control,Emergent (SC),56.833333333333336,percentile_midrank,grok-4-20-reasoning,Grok-4-20-Reasoning,20,5.994515036791198
control,Emergent (SC),0.2636471211425194,z_score,grok-4-20-reasoning,Grok-4-20-Reasoning,20,0.235181238625969
control,Emergent (SC),2.0048692210949395,actual_reward_advantage,grok-4-20-reasoning,Grok-4-20-Reasoning,20,1.5993754613660942
simple,Prompted (SC),58.333333333333336,percentile_midrank,grok-4-20-reasoning,Grok-4-20-Reasoning,20,6.989967748338115
simple,Prompted (SC),0.2600910522205398,z_score,grok-4-20-reasoning,Grok-4-20-Reasoning,20,0.2552192161174038
simple,Prompted (SC),1.166959627750277,actual_reward_advantage,grok-4-20-reasoning,Grok-4-20-Reasoning,20,1.4860661833895912
