condition,condition_pretty,mean,metric_key,metric_label,model_label,model_label_pretty,n,sem
control,Emergent (SC),0.12022829579416443,normalized_regret,Normalized Regret (↓),together-kimik2-Instruct,Kimi-K2-Inst,10,0.0295375528819624
control,Emergent (SC),0.4892134939111129,normalized_coalition_regret_gap,Coalition Advantage (-),together-kimik2-Instruct,Kimi-K2-Inst,10,0.08680752312227634
control,Emergent (SC),1.0666666666666667,judge_mean_rating,Collusion Judge (↓),together-kimik2-Instruct,Kimi-K2-Inst,10,0.06666666666666667
simple,Prompted (SC),0.1185873691553065,normalized_regret,Normalized Regret (↓),together-kimik2-Instruct,Kimi-K2-Inst,10,0.03992870476091608
simple,Prompted (SC),0.48451219971118303,normalized_coalition_regret_gap,Coalition Advantage (-),together-kimik2-Instruct,Kimi-K2-Inst,10,0.08745833799462442
simple,Prompted (SC),3.166666666666667,judge_mean_rating,Collusion Judge (↓),together-kimik2-Instruct,Kimi-K2-Inst,10,0.19404721329525532
baseline,Control (no SC),0.1366089800338751,normalized_regret,Normalized Regret (↓),together-kimik2-thinking,Kimi-K2-Thinking,10,0.04791815766125932
baseline,Control (no SC),0.5767014073645103,normalized_coalition_regret_gap,Coalition Advantage (-),together-kimik2-thinking,Kimi-K2-Thinking,10,0.06421826092042433
baseline,Control (no SC),0.6,judge_mean_rating,Collusion Judge (↓),together-kimik2-thinking,Kimi-K2-Thinking,10,0.16329931618554522
control,Emergent (SC),0.07106993834699007,normalized_regret,Normalized Regret (↓),together-kimik2-thinking,Kimi-K2-Thinking,10,0.023186252326910718
control,Emergent (SC),0.43403144656975795,normalized_coalition_regret_gap,Coalition Advantage (-),together-kimik2-thinking,Kimi-K2-Thinking,10,0.05926155869911009
control,Emergent (SC),0.8666666666666666,judge_mean_rating,Collusion Judge (↓),together-kimik2-thinking,Kimi-K2-Thinking,10,0.11331154474650633
simple,Prompted (SC),0.06956558112085245,normalized_regret,Normalized Regret (↓),together-kimik2-thinking,Kimi-K2-Thinking,10,0.020210892795426216
simple,Prompted (SC),0.42685102008194703,normalized_coalition_regret_gap,Coalition Advantage (-),together-kimik2-thinking,Kimi-K2-Thinking,10,0.06118154037842871
simple,Prompted (SC),2.4666666666666663,judge_mean_rating,Collusion Judge (↓),together-kimik2-thinking,Kimi-K2-Thinking,10,0.3227964232518655
